np,dt,gpu,cpu,speedup
64,0.1,1.291,0.347999999999956,0.269558481797023
128,0.1,1.475,0.445999999999913,0.302372881355873
256,0.1,1.466,0.766999999999825,0.523192360163591
512,0.1,1.54499999999999,1.46899999999914,0.950809061488121
1024,0.1,1.624,2.6760000000013,1.64778325123233
2048,0.1,1.907,4.25900000000001,2.23335081279497
4096,0.1,2.23399999999999,7.94599999999991,3.55684870188001
8192,0.1,2.999,16.1399999999994,5.38179393131024
16384,0.1,5.13500000000001,32.8689999999988,6.40097370983422
32768,0.1,8.956,69.9089999999997,7.80582849486374
65536,0.1,19.445,173.007000000001,8.89724865003865
131072,0.1,38.094,300.387000000001,7.88541502598837
64,0.3,0.512,0.167999999999665,0.328124999999346
128,0.3,0.561000000000007,0.182000000000698,0.324420677363095
256,0.3,0.585000000000008,0.262000000000626,0.447863247864311
512,0.3,0.634000000000015,0.447999999998501,0.706624605675853
1024,0.3,0.739000000000004,0.799999999999272,1.08254397834813
2048,0.3,0.930000000000007,1.59699999999975,1.71720430107499
4096,0.3,1.37800000000001,3.20099999999911,2.32293178519527
8192,0.3,2.137,6.44599999999991,3.01637810014034
16384,0.3,3.56,14.1279999999988,3.96853932584235
32768,0.3,6.51900000000001,31.5360000000001,4.83755177174414
65536,0.3,13.818,86.2290000000012,6.24033868866704
131072,0.3,29.356,181.311,6.17628423490938
64,1,0.242000000000019,0.118000000000393,0.48760330578671
128,1,0.254999999999995,0.14600000000064,0.572549019610364
256,1,0.278999999999996,0.212000000001353,0.759856630829233
512,1,0.323000000000008,0.336999999999534,1.04334365324931
1024,1,0.424000000000007,0.570999999999913,1.34669811320732
2048,1,0.607999999999976,1.04000000000087,1.71052631579098
4096,1,1.00400000000002,2.06000000000131,2.05179282868652
8192,1,1.81999999999999,4.69499999999971,2.57967032967018
16384,1,3.13499999999999,10.228000000001,3.26251993620447
32768,1,5.97499999999999,23.3639999999996,3.91029288702922
65536,1,12.862,58.2080000000005,4.52557922562591
131072,1,28.204,125.130999999999,4.43664019288042
